movie_id,average_rating,num_votes
tt0019553,6.6,250
tt0019557,6.1,660
tt0019558,7.3,2039
tt0019562,4.7,26
tt0019563,7.2,2128
tt0019574,6.8,1102
tt0019582,4.7,25
tt0019585,8.0,7801
tt0019589,6.9,157
tt0019591,7.1,1850
tt0019598,5.0,26
tt0019599,6.3,33
tt0019610,7.3,40
tt0019611,7.1,1280
tt0019614,5.0,10
tt0019620,6.6,25
tt0019625,5.8,40
tt0019629,7.0,292
tt0019630,5.6,1107
tt0019644,7.1,1627
tt0019646,7.5,1241
tt0019649,7.1,2512
tt0019655,7.4,1846
tt0019657,6.7,63
tt0019658,5.2,321
tt0019668,4.0,21
tt0019679,5.6,57
tt0019684,4.8,637
tt0019689,6.2,94
tt0019699,5.6,593
tt0019702,6.9,13495
tt0019706,6.2,42
tt0019708,7.1,55
tt0019709,5.2,13
tt0019722,6.6,113
tt0019725,6.2,526
tt0019726,6.1,268
tt0019729,5.5,9045
tt0019730,5.3,26
tt0019734,6.8,98
tt0019735,6.3,1495
tt0019745,6.0,1217
tt0019746,6.6,225
tt0019757,6.7,69
tt0019758,5.7,143
tt0019760,8.3,30331
tt0019766,7.1,72
tt0019775,5.3,20
tt0019777,6.8,8855
tt0019779,5.6,24
tt0019785,6.4,684
tt0019788,5.5,2510
tt0019796,6.3,663
tt0019800,5.7,225
tt0019801,5.0,68
tt0019802,6.7,142
tt0019806,6.3,101
tt0019811,6.7,1296
tt0019813,5.8,143
tt0019823,6.0,1639
tt0019824,6.1,1046
tt0019833,6.1,78
tt0019839,3.1,228
tt0019840,6.8,33
tt0019841,5.5,14
tt0019843,6.8,587
tt0019847,5.8,9
tt0019850,7.1,700
tt0019856,6.8,182
tt0019871,6.1,27
tt0019873,3.1,33
tt0019884,6.0,454
tt0019886,6.5,395
tt0019888,3.3,30
tt0019896,5.9,35
tt0019901,7.3,4229
tt0019909,7.0,190
tt0019918,6.5,59
tt0019920,6.1,138
tt0019930,5.7,46
tt0019931,7.2,68
tt0019932,4.8,73
tt0019933,5.7,879
tt0019935,7.1,899
tt0019936,7.0,234
tt0019946,6.0,1119
tt0019949,6.3,766
tt0019952,7.5,113
tt0019954,5.7,29
tt0019958,6.4,95
tt0019959,6.7,2230
tt0019960,6.9,12
tt0019964,6.1,26
tt0019976,7.2,1179
tt0019983,5.3,475
tt0019986,7.4,32
tt0019987,5.3,60
tt0019988,5.4,143
tt0019990,6.5,43
tt0019992,5.7,319
tt0019993,5.6,2546
tt0019996,6.0,97
tt0019997,6.0,24
tt0020004,6.6,594
tt0020006,7.1,29
tt0020007,6.4,417
tt0020011,6.2,195
tt0020015,6.8,25
tt0020018,5.5,1509
tt0020025,7.2,343
tt0020026,7.5,48
tt0020030,7.0,1531
tt0020034,5.9,346
tt0020042,5.6,213
